Census Tract,Amount
Census Tract 3301,99722
Census Tract 4001,80725
Census Tract 4002,133417
Census Tract 4003,99743
Census Tract 4051,70217
Census Tract 4052,66331
Census Tract 4053,59552
Census Tract 4054.01,82266
Census Tract 4054.02,62212
Census Tract 4055,76318
Census Tract 4056,63167
Census Tract 4057,43393
Census Tract 4058,85524
Census Tract 4059,91250
Census Tract 4060.01,50799
Census Tract 4060.02,82702
Census Tract 4061,45903
Census Tract 4101.01,117401
Census Tract 4101.02,136719
Census Tract 4153,33049
Census Tract 4154,45828
Census Tract 4155,33056
Census Tract 4156,49125
Census Tract 4157,49583
Census Tract 4158,48824
Census Tract 4159,28636
Census Tract 4160,41616
Census Tract 4161,30293
Census Tract 4162,35463
Census Tract 4163,37463
Census Tract 4164,96658
Census Tract 4165,53617
Census Tract 4166,30563
Census Tract 4167,46326
Census Tract 4168,62788
Census Tract 4171,29755
Census Tract 4172,32378
Census Tract 4173,
Census Tract 4174,76724
Census Tract 4175,62462
Census Tract 4204,91129
Census Tract 4205,62060
Census Tract 4206,71316
Census Tract 4207,74732
Census Tract 4301,70689
Census Tract 4302.01,90500
Census Tract 4302.02,119042
Census Tract 4302.03,72813
Census Tract 4303.01,131563
Census Tract 4303.02,89900
Census Tract 4304,90054
Census Tract 4305,116250
Census Tract 4306.01,56714
Census Tract 4306.02,86651
Census Tract 4601,94872
Census Tract 4602.02,102688
Census Tract 4602.03,79954
Census Tract 4602.04,75074
Census Tract 4603.01,106782
Census Tract 4603.02,90375
Census Tract 4621.01,128661
Census Tract 4621.02,195357
Census Tract 4622.01,102227
Census Tract 4622.02,144886
Census Tract 4641.01,117895
Census Tract 4641.02,72900
Census Tract 4661.01,123580
Census Tract 4661.02,139236
Census Tract 4662.01,94167
Census Tract 4662.02,147778
Census Tract 4663,131583
Census Tract 4664,98000
Census Tract 4681.01,132740
Census Tract 4681.02,105000
Census Tract 4701,104336
Census Tract 4711,75293
Census Tract 4712,63468
Census Tract 4713,71810
Census Tract 4714,105066
Census Tract 4715,78713
Census Tract 4731,98611
Census Tract 4734,74132
Census Tract 4735.01,116402
Census Tract 4735.02,88896
Census Tract 4736.01,107670
Census Tract 4736.02,81641
Census Tract 4737,81250
Census Tract 4738,80298
Census Tract 4761,62120
Census Tract 4762,85347
Census Tract 4763,63044
Census Tract 4771.01,121939
Census Tract 4771.02,109671
Census Tract 4772,112500
Census Tract 4803,68523
Census Tract 4804,79864
Census Tract 4805,73903
Census Tract 4806,33221
Census Tract 4807,58000
Census Tract 4808,83345
Census Tract 4809,92500
Census Tract 4810,122222
Census Tract 4811,73365
Census Tract 4812,90543
Census Tract 4813,99617
Census Tract 4841,72150
Census Tract 4842,84779
Census Tract 4871,121296
Census Tract 4872.01,114792
Census Tract 4872.02,169688
Census Tract 4873,96875
Census Tract 4874,109605
Census Tract 4875,69135
Census Tract 4901,72198
Census Tract 4903.02,89691
Census Tract 4921,98664
Census Tract 4922,92750
Census Tract 4923,68125
Census Tract 4924,85446
Census Tract 4925,90644
Census Tract 4926,101964
Census Tract 4941,86119
Census Tract 4942.01,75536
Census Tract 4942.02,90571
Census Tract 4943,79475
Census Tract 4944,74659
Census Tract 4945,87917
Census Tract 4946,75980
Census Tract 4961,59914
Census Tract 4962,75417
Census Tract 4963,102955
Census Tract 4964,142566
Census Tract 4965,126738
Census Tract 4966,130694
Census Tract 4967,58889
Census Tract 4968,82346
Census Tract 4969,96472
Census Tract 4970,179821
Census Tract 4971,75135
Census Tract 4972,141765
Census Tract 4973,140000
Census Tract 4974,172031
Census Tract 4975,93843
Census Tract 4976,138542
Census Tract 4977,178696
Census Tract 5001,28438
Census Tract 5002,24943
Census Tract 5003,24325
Census Tract 5004,33750
Census Tract 5005,45481
Census Tract 5007,
Census Tract 5009,21633
Census Tract 5012,22449
Census Tract 5013,30034
Census Tract 5014,23500
Census Tract 5015,31309
Census Tract 5017,28029
Census Tract 5018,22454
Census Tract 5021,82355
Census Tract 5023,49643
Census Tract 5024,31179
Census Tract 5025,39545
Census Tract 5026,36495
Census Tract 5027,23608
Census Tract 5028,30987
Census Tract 5029,43600
Census Tract 5030,23480
Census Tract 5031,30206
Census Tract 5033,33958
Census Tract 5035,35030
Census Tract 5037,37353
Census Tract 5038,26250
Census Tract 5039,49309
Census Tract 5040,54908
Census Tract 5041,36743
Census Tract 5042,25648
Census Tract 5043,25958
Census Tract 5045,31972
Census Tract 5048,53607
Census Tract 5049,39167
Census Tract 5101,68482
Census Tract 5102,45278
Census Tract 5103,52860
Census Tract 5104,37403
Census Tract 5105,53237
Census Tract 5106,41467
Census Tract 5107,58029
Census Tract 5108,59018
Census Tract 5109,91170
Census Tract 5110,84648
Census Tract 5111,93403
Census Tract 5112,50000
Census Tract 5113,46646
Census Tract 5114,81270
Census Tract 5141.01,93571
Census Tract 5141.02,83929
Census Tract 5142,63190
Census Tract 5143,75685
Census Tract 5144,62700
Census Tract 5145,70875
Census Tract 5146,52932
Census Tract 5147,44015
Census Tract 5148,53083
Census Tract 5149,86714
Census Tract 5150,104500
Census Tract 5151.01,82454
Census Tract 5151.02,78254
Census Tract 5152,111809
Census Tract 5201,141914
Census Tract 5202.01,168672
Census Tract 5202.02,153878
Census Tract 5203.01,87500
Census Tract 5203.02,63821
Census Tract 5204,123480
Census Tract 5205.01,174375
Census Tract 5241,112557
Census Tract 5242,89076
Census Tract 5243,89079
Census Tract 5244,46155
Census Tract 5245.01,42021
Census Tract 5245.02,57778
Census Tract 5246,36120
Census Tract 5247,75110
Census Tract 9800,